0,1,2,3,4
[1202.5019473634197],[883.2257009636594],[821.5690888022748],[820.8718838685377],[821.7044767574588]
[1122.7175178616433],[878.608909273615],[821.5809081208365],[821.5559246484922],[822.5853339422481]
[1099.8840120735706],[874.9691250490748],[822.8408163208451],[822.2481929602177],[823.6132825599614]
[1099.9390617045392],[869.0881121220913],[823.3340764267737],[822.5092990529681],[824.6095636763246]
[1092.143349798948],[870.1695540114064],[825.4025884844896],[824.3435304187014],[825.8253036556915]
[1087.593013935171],[870.853947190961],[827.1731908646966],[825.0489629894296],[826.7471538474949]
[996.6034641117976],[864.3669800901057],[823.9884633325876],[823.721472794506],[826.1714549682752]
[955.495344182948],[858.7407844001704],[821.6172242988265],[822.5414734222611],[825.4999927327385]
[934.3593118515932],[851.9718949924375],[820.2058523727635],[821.2254652988507],[824.8872577623615]
[922.7747332811588],[846.5921427496185],[818.4453909738005],[820.4527222968069],[824.4879431210502]
[915.9118079472178],[845.1160994714749],[817.9673304280553],[821.2927385177375],[824.2872729694903]
[909.1942174105974],[842.770608989963],[817.9776303214796],[820.9086898527424],[824.1165282168863]
[894.7472914995581],[834.1804687592963],[817.4087018598217],[819.7832345553397],[824.3824095672749]
[893.9032981313441],[829.0494604465749],[817.6227747287301],[819.2115783650997],[825.1143554417425]
[890.6853233854322],[827.0138950458648],[819.4192345342634],[819.3850212205936],[826.1076234278239]
[892.6462851859311],[821.5911522011768],[821.1703160193155],[820.3380617001036],[827.241179745001]
